Username,Text,summary,reply
bmbarnes2004,"@AmazonHelp And, the reason for using social media is it appears there is no other way to contact you and share information.",Neutral,
K_moreas,@AmazonHelp The receipt i attached all the information you asked for. If there is problem can you be more specific… https://t.co/3yu4YugALY,Neutral,
lunchladymambo,@AmazonHelp It was delivered today.,Neutral,
bmbarnes2004,"@AmazonHelp Thanks.  I wish there was an option to not use USPS.  If it does not arrive on time, I will just cancel.",The tone of the user in the tweet is neutral.,
adityabmarp,"@amazonIN @AmazonHelp 
Social Media Customer Support Or Customer Support both are bogus. 
They are just referring to each other",The tone of the user in the tweet is negative.,
JarednSpace,@AmazonHelp Three hours to go to ship and deliver. I’m glad I left work early to make sure I was home to receive th… https://t.co/nj4hv5MOUO,neutral,
kklappco,@AmazonHelp Yes I did.  I was particularity careful to list the correct social media name when I submitted.  I woul… https://t.co/7EetktTIvJ,neutral,
YrFrndlyNerdbor,@AmazonHelp @ArchitSasta I'm unsure how to play Trackmania with Luna+.  I went to luna and it redirects me to the u… https://t.co/DW6p1wlQSD,Neutral,
adityabmarp,"@AmazonHelp @amazonIN 
Worst Service
Unanimous Clueless Customer Support
Fake information at the site regarding pro… https://t.co/LlHrKPDIF2",negative,
Mumalmumal13463,@AmazonHelp My refund was not received and has been picked up,The tone of the user in the tweet is negative.,
gercekcikayit,@AmazonHelp AusPost confirmed that the item has been delivered back to you. No word on the refund yet. Looks like i… https://t.co/AN8e8iQSI2,Neutral,
veshnav_hitesh,@amazon @AmazonHelp @amazonIN It has been more then 18 hrs fraud happened and I'm still not got any response from y… https://t.co/MepmElfv5w,negative,
pelavarre,"@AmazonHelp thank you

your person on the phone told me they had awarded me Difficult Customer points, of which i h… https://t.co/iX9JMwgRNH",The tone of the user in the tweet is neutral.,
rajeshk4u,@domcycling @AmazonHelp People told to get rid of cars. People then rely on home deliveries.,Neutral,
K_moreas,"@AmazonHelp I sent the information. I sent the receipt via email and why nobody respond me? 
And i attached payment… https://t.co/y64aQfTd0N",The tone of the user in the tweet is negative.,
rajeshk4u,@domcycling @AmazonHelp Why can't you wait or go around? He is going to be 2mins. These delivery drivers  should ca… https://t.co/4NU1OCe9RW,Negative,
milehimikey,@AmazonHelp @TylerKron Doesn’t … not don’t,Neutral,
BeauxFiftyThree,RT @BeauxFiftyThree: @AmazonHelp you lied then made me wait all day for nothing then your customer service was closed just a automated chat…,negative,
sofi76,"RT @VotingBlueInTX: OMG!! I just spoke w/the WORST customer service person on the planet at @amazon @AmazonHelp 

He had no idea what he wa…",negative,
PaulHal83159238,@AmazonHelp The cafeteria cashiers were fooled by the look of these bills until they scanned them with a pen. I rea… https://t.co/fLTvpGIoMM,neutral,
SportyGman10,@AmazonHelp There was a picture of it being delivered but not to my place.,Neutral,
ManjuKumar48092,@AmazonHelp Dm is not send always its failed then how i do it kindly i request to check the details and help me for further,The tone of the user in the tweet is neutral.,
consumr_rights,"RT @Saurav_Rao_jr: 🚨 Urgent Appeal to @AmazonHelp 🚨
I'm deeply disappointed &amp; frustrated by the complete lack of response, refund, or repla…",negative,
Saurav_Rao_jr,"🚨 Urgent Appeal to @AmazonHelp 🚨
I'm deeply disappointed &amp; frustrated by the complete lack of response, refund, or… https://t.co/odiLDx4KGy",negative,
joyceawf1,@AmazonHelp Nope.  It was cancelled out of frustration.  It will now sat that way.,The tone of the user in the tweet is negative.,
Dronak,@amazon @amazonhelp Any idea when the paperback of Lone Wolf: Castle Death will be available for preorder? I though… https://t.co/vmkomEMTLN,Neutral,
kklappco,@AmazonHelp Responded - thanks.,The tone of the user in the tweet is positive.,
bworld5,@AmazonHelp Beware of am a zone means  corrupt 😨,The tone of the user in the tweet is negative.,
joshsobeck,@AmazonHelp I don’t need you to do anything with my account. Just send that driver back through some driver training please,The tone of the user in the tweet is negative.,
mizukissbu,@AmazonHelp Its kind of hard for me to do that whenever both of these items were items that sold out immediately. T… https://t.co/3wEu92nlkP,The tone of the user in the tweet is negative.,
drhollier,"@VotingBlueInTX @amazon @AmazonHelp It's the old adage mate, if something sounds too good to be true it usually is.",The tone of the user in the tweet is neutral.,
K_moreas,@AmazonHelp I’m in Korea can’t get a call from you.,Neutral,
ryanmaynard90,@AmazonHelp I get that your staff are busy and have quotas to fill but holy lord https://t.co/xzm0ViBNdc,negative,
joyceawf1,"@AmazonHelp And yet no offer to help with this issue.  
Not good @Amazon.",The tone of the user in the tweet is negative.,
K_moreas,"@AmazonHelp Few hours 
Hit a snag with chat
I dont’t know what is the problem. https://t.co/lXCKNPGog7",The tone of the user in the tweet is neutral.,
sushantag9,Please don't buy any Alexa devices. I have been facing issues with the device for last 2 months. The only reply I g… https://t.co/3AmEP0UkPd,negative,
BernieMamorbor,@VotingBlueInTX @amazon @AmazonHelp So sorry Jaini. You might want to try again in a little bit. You will likely ge… https://t.co/gHXJL2oCgu,neutral,
edencwrites,"@AmazonHelp @hannahloraine_ 😂😂 The Amazon bot is on it. 

For me I factor in $30 bucks for outfit, $2 for safety pi… https://t.co/TkgpgGNP53",neutral,
K_moreas,"@AmazonHelp US 
And now I can’t connect chatting service. Keep showing me hit a snag on chat.",The tone of the user in the tweet is negative.,
Cuner,@AmazonHelp Amazon. It was prime.,Neutral,
HarrietCorey22,RT @istankoylu: Refunded orders in 24 hours. Because @USPS doesn't wish to deliver our orders without any reason. This refund cycle needs t…,neutral,
VotingBlueInTX,"OMG!! I just spoke w/the WORST customer service person on the planet at @amazon @AmazonHelp 

He had no idea what h… https://t.co/coaKkoB4kn",negative,
NakiaKrishun,"@AmazonHelp Please have someone read the email your company sent on 4/26/2023. While we are proud of what we built,… https://t.co/PZ3M3kE1BL",Neutral,
dccoletrain,@AmazonHelp Rebooted the TV and it’s working now after force closing the first few times. Thanks,The tone of the user in the tweet is positive.,
VINODKU82114303,@AmazonHelp my order replacement 6 may but not any process and Amazon said I will return within. 7 days fack fack https://t.co/mN6ErWtaUD,negative,
lizleos_,"@AmazonHelp It didn't, but thank you either way.",neutral,
TurboDingus,@AmazonHelp You delivered my item unpackaged and damaged it. I requested a refund but I wanted to ask that you not do that again,The tone of the user in the tweet is negative.,
BeauxFiftyThree,@AmazonHelp you lied then made me wait all day for nothing then your customer service was closed just a automated c… https://t.co/rMNDyjWSvK,negative,
CharliePengMoji,@AmazonHelp The package hasn’t been dispatched at all im still waiting for a emil or confirmation that its been dis… https://t.co/mW3ouAS7bj,Negative,
new9876543219,"@AmazonHelp That email was helpful!!!
The update:
Package delivered today behind the fence!!!
My house has been exp… https://t.co/TgutpYL3em",positive,
JarednSpace,@AmazonHelp 5:45. Still not shipped. 🤦‍♂️ @amazon,The tone of the user in the tweet is negative.,
Sathishkumar_rk,@AmazonHelp I can't wait for your refund and reorder it again as it's summer and also the expected item is fan,Neutral,
Sathishkumar_rk,@AmazonHelp And delivery says my mobile has no shipping. Totally disappointed. I have updated my phone number as a… https://t.co/fxJd1jTHtG,negative,"Dear valued customer,

Thank you for taking the time to share your feedback with us. We apologize for any inconvenience caused by the issue with your delivery and the incorrect phone number on file. We have updated your phone number and will ensure that your future orders are delivered to the correct address. We appreciate your business and hope to serve you better in the future.

Best regards,
AI customer agent"
