Tweet ID,Username,Text
1658677654504062976,shailekm,"@AmazonHelp @manish_tiwary @AmitAgarwal @amazonIN @manish_tiwary
@AmitAgarwal
@amazonIN
@AmazonHelp 
a day after a day after a day..."
1658677611101290497,Cayde_Otty,@AmazonHelp It's not a wifi thing I have it plugged to power and plugged it into hdmi and it won't boot or show up on my inputs
1658677347019792384,Rajni99124494,RT @Rajni99124494: @AmazonHelp @AmazonHelp i will get jobsheet/denial letter only if manufacturer provide me as they just register my compl…
1658677312064483328,Rajni99124494,@AmazonHelp @AmazonHelp i will get jobsheet/denial letter only if manufacturer provide me as they just register my… https://t.co/FZiFdjsFzd
1658676951198965765,ManochaPriyam,"@AmazonHelp Okay
Waiting for the response
Still not received any update
Kindly raise again complaint and remove res… https://t.co/jl3lvy2VKU"
1658676407172751366,vikrant_chauha,@amazonIN I would like to say to the Indian people.  Do not order any goods from an Amazon company.  Your order wil… https://t.co/5TOy7ZUDzr
1658676052946984960,Rohit_Vohra93,"@amazon No it has not been delivered, it has only been marked as delivered @amazonIN @AmazonHelp @JeffBezos
Deliver… https://t.co/swEbrVAxcp"
1658676041890648064,AlifiedD,UK team Locked my account 10 days are passed I submitted the Utility bill they asked more then 100 times and Fax th… https://t.co/Xi1Fai4gRU
1658676037520355329,Ujimondal,@AmazonHelp I don't have an email id and didn't receive any email.
1658675211078873090,JarednSpace,"@AmazonHelp Hasn't shipped yet. @amazon, think it'll ship, be loaded onto a truck, and be delivered in the next 35 minutes? Because I don't."
1658675176572354560,NirajBariya,@AmazonHelp If I want early access then should have watched in theatres at much cheaper price!! Why I should pay 39… https://t.co/lP21cHTyW0
1658674920698806272,Jokerin20s,"@AmazonHelp I'm asking why you guys don't have buyer protection, without asking me how did you confirm the order had been delivered?"
1658674500303454210,Agent00sonic,"@AmazonHelp Thank you, the order was through @neewerofficial website and i don't know how it got redirected through… https://t.co/3gatfPHLjy"
1658673569763606529,liette_mariee,@AmazonHelp May 10th I believe
1658673294600712193,Jokerin20s,@amazonIN @AmazonHelp It's showing the order delivered but I didn't receive my product. Why there is no buyer prote… https://t.co/Y7zZzSTPaQ
1658672985463734272,Ramesh_2828,@AmazonHelp Why don't you give mail id?
1658672892572233728,BrokeNGameSs,"@AmazonHelp I can't log in: There was a problem

Please Sign-In with the currently active account."
1658672626976391168,DoWhatchu,@AmazonHelp @oeprov youre too late i think. idk context clues lol
1658672129880256512,SadekAliSh38513,"@AmazonHelp This is not doing you justice ,everyone has the right to see Movei and must give Movie.  Since it is a… https://t.co/cgbm4J7Ggj"
1658671859163070469,bardhansudeep56,@AmazonHelp I am tired from your suggestions...here is my no 6200305543 call me back as soon as possible or else I… https://t.co/Wiv8D1X1J2
1658671570913558528,2strapp,@AmazonHelp Well I've done that several times...but now their not saying  my account is on hold but closed....i rea… https://t.co/NnSiZxe5SQ
1658671258895282178,Pankaj91Sharma,@AmazonHelp Why u cancelled the order ? I want that product on mentioned time .
1658670101455929351,0Darknight127,@gyanibaba2_0 @help_delhivery @amazonIN @delhivery @BandBajaateRaho @jagograhakjago @AmazonHelp @flipkartsupport to… https://t.co/8mV4fxEBf6
1658669890470035457,Ramesh_2828,@AmazonHelp Tried but in vain. Not able to upload photos. So you send email id of Nodal officer and Appellate authority
1658669311991615490,SadekAliSh38513,"@PrimeVideoIN When people take a subscription, there is no specific which movies they can see and which movies they… https://t.co/GSq5xVGE4G"
1658669292676698112,devimj,@AmazonHelp Submitted the form. Please take a look asap. We are really tired of repeating the story over and over.… https://t.co/K5mBdZnSKA
1658669169322389504,PeachesNPork,"RT @hamesjalpert: @AmazonHelp no you don't get it, i am actually extremely happy with your service"
1658669153199489024,Ujimondal,"@AmazonHelp Yeh I can see how you are assisting customers, instead of helping return or replace the wrong items you… https://t.co/rM4Iuu6uIF"
1658669107267420160,cofetalkapp,RT @cofetalkapp: @AmazonHelp @AmitAgarwal @amazonIN @amazon @AmazonHelp NO resolution yet...
1658669006054891521,GaganTPL,@AmazonHelp This is the message received on 05.05.2023 which says that the issue will be received by 30.04.2023. Re… https://t.co/3hbY5AI8oc
1658668761975488513,4goldencarat,@AmazonHelp @amazon I been ordered my package and it hasn’t even move yet
